A̱o,Trimestre,Ingresos (miles de pesos),Periodo,Dolar Oficial,Ingresos usd
2022,3,67055930,Jul-Sept 2022,141,473275
2022,2,60335724,Abr-Jun 2022,122,490808
2022,1,55589997,Ene-Mar 2022,111,497759
2021,4,45467887,Oct-Dic 2021,105,430465
2021,3,42999944,Jul-Sept 2021,102,420269
2021,2,38239667,Abr-Jun 2021,99,385607
2021,1,36676371,Ene-Mar 2021,93,392191
2020,4,33539703,Oct-Dic 2020,85,394043
2020,3,31997445,Jul-Sept 2020,77,415039
2020,2,32102476,Abr-Jun 2020,69,461213
2020,1,29946216,Ene-Mar 2020,63,470373
2019,4,24169251,Oct-Dic 2019,62,389127
2019,3,21652748,Jul-Sept 2019,51,418890
2019,2,20743118,Abr-Jun 2019,44,461454
2019,1,20207414,Ene-Mar 2019,39,505832
2018,4,16637687,Oct-Dic 2018,37,437997
2018,3,15410981,Jul-Sept 2018,32,471174
2018,2,14319467,Abr-Jun 2018,23,599031
2018,1,13171459,Ene-Mar 2018,19,660573
2017,4,11226127,Oct-Dic 2017,17,631800
2017,3,10065998,Jul-Sept 2017,17,575985
2017,2,9678647,Abr-Jun 2017,15,607972
2017,1,8701201,Ene-Mar 2017,15,548241
2016,4,7483980,Oct-Dic 2016,15,477845
2016,3,6912442,Jul-Sept 2016,15,456594
2016,2,6534241,Abr-Jun 2016,14,452972
2016,1,5936845,Ene-Mar 2016,14,406679
2015,4,5376899,Oct-Dic 2015,10,525590
2015,3,5153739,Jul-Sept 2015,9,557109
2015,2,4701791,Abr-Jun 2015,8,525337
2015,1,4876385,Ene-Mar 2015,8,561196
2014,4,3950441,Oct-Dic 2014,8,462774
2014,3,3478638,Jul-Sept 2014,8,434830
2014,2,3270816,Abr-Jun 2014,8,408852
2014,1,2984054,Ene-Mar 2014,8,373007
